,posture,x,y,speed,traitement,breed,temperature,time,200002,200004,200011,200013,200014,204926,204927,204938,204945,204946,num_nb,degree,close,bet,pr,204946==False AND bet>=0.06,204938==True AND bet>=0.06,200011==True AND 204946==False,204946==False AND pr>=0.11,200002==False AND bet>=0.06,204946==False AND num_nb: [3.0:4.0[,204946==False AND degree: [0.33:0.44[,204938==False AND num_nb: [3.0:4.0[,204938==False AND degree: [0.33:0.44[,204938==False AND 204946==False,200014==False AND y>=132.23,pr: [0.07:0.08[ AND y>=132.23,pr: [0.07:0.08[ AND speed: [0.80:1.92[,bet: [0.01:0.02[ AND y>=132.23,pr: [0.07:0.08[ AND temperature<28.50,200004==False AND temperature: [29.0:29.50[	,speed>=19.89,speed>=19.89 AND traitement==1.0,breed==0.0 AND speed>=19.89,200002==False AND speed>=19.89,speed: [4.28:19.89[,speed: [4.28:19.89[ AND traitement==1.0	,breed==0.0 AND speed: [4.28:19.89[	,200002==False AND speed: [4.28:19.89[	,204927==True
30,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-24 23:30:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-25 00:00:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-25 00:30:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-25 01:00:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-25 01:30:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-25 02:00:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-25 02:30:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-25 03:00:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
38,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-25 03:30:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
39,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-25 04:00:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-25 04:30:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
41,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-25 05:00:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
42,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-25 05:30:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
43,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-25 06:00:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
44,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-25 06:30:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-25 07:00:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
46,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-25 07:30:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
47,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-25 08:00:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48,5.0,18.5638762722392,69.8337995761847,0.0,1.0,0.0,29.0,2020-06-25 08:30:00,False,False,False,False,False,False,False,False,True,True,2.0,0.2222222222222222,0.5,0.004629629629629629,0.05299120459650229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
49,5.0,146.68278332670602,68.6244311954613,4.858767731341009,1.0,0.0,29.0,2020-06-25 09:00:00,False,True,True,True,True,True,True,False,True,False,7.0,0.7777777777777777,0.8181818181818182,0.047949735449735444,0.107890300249248,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
50,5.0,1.4904145586830602,74.60203066326791,4.0205125910811,1.0,0.0,29.0,2020-06-25 09:30:00,False,True,False,False,False,True,True,False,False,True,4.0,0.4444444444444444,0.6428571428571429,0.003968253968253968,0.07496245704419324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
51,1.0,10.336898466291801,72.8535564031507,10.441649680155301,1.0,0.0,29.0,2020-06-25 10:00:00,False,True,False,False,False,True,True,False,False,True,4.0,0.4444444444444444,0.6428571428571429,0.008597883597883597,0.07733135348601522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
52,5.0,117.881525650335,66.7656021165508,32.2063806299516,1.0,0.0,29.0,2020-06-25 10:30:00,False,False,True,True,True,False,True,False,False,False,4.0,0.4444444444444444,0.6428571428571429,0.03333333333333333,0.08176698517717973,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
53,4.0,55.7791809500173,73.9823975787118,17.708753886387697,1.0,0.0,29.0,2020-06-25 11:00:00,False,False,False,False,False,False,False,True,False,True,2.0,0.2222222222222222,0.5294117647058824,0.004629629629629629,0.05151597376458275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
54,4.0,143.056753352367,63.579748321679105,140.21888727654,1.0,0.0,29.0,2020-06-25 11:30:00,False,False,True,False,False,True,True,True,True,False,5.0,0.5555555555555556,0.6923076923076923,0.03379629629629629,0.08281677454985843,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
55,2.0,61.0567471110003,44.34229424169379,1.09354684510511,1.0,0.0,29.0,2020-06-25 12:00:00,False,True,False,True,True,False,True,False,False,False,4.0,0.4444444444444444,0.6428571428571429,0.003472222222222222,0.07178408872925895,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
